date,open,close,high,low,volume
2020-8-19,0.112303051,0.089223233,0.09686221,0.105282877,0.073051057
2020-8-20,0.08079115,0.100419874,0.088335607,0.090295991,0.061588398
2020-8-21,0.10325176,0.092722183,0.092087312,0.100786812,0.059219414
2020-8-24,0.09319477,0.093072078,0.080832196,0.089921319,0.052705561
2020-8-25,0.092189071,0.096571029,0.093792633,0.109029599,0.060582376
2020-8-26,0.096882333,0.083974808,0.092769441,0.097414762,0.068520945
2020-8-27,0.084478713,0.069979006,0.072305593,0.078306482,0.067696715
2020-8-28,0.081461616,0.149055283,0.135402456,0.092544024,0.35375029
2020-8-31,0.151190077,0.130160952,0.148362892,0.151742226,0.183463614
2020-9-1,0.132752263,0.120713786,0.128581173,0.130385912,0.134293589
2020-9-2,0.120013409,0.122463261,0.111527967,0.126264519,0.117871663
2020-9-3,0.120683875,0.099720084,0.112892224,0.112776321,0.14602482
2020-9-4,0.081796849,0.082225332,0.07366985,0.089546647,0.093327555
2020-9-7,0.078444519,0.054583625,0.070600273,0.067815661,0.147838588
2020-9-8,0.060006705,0.05423373,0.048090041,0.05545148,0.069782552
2020-9-9,0.046597385,0.011896431,0.033424284,0.017609592,0.126901051
2020-9-10,0.023131076,0.001049685,0.01739427,0.007493443,0.059462866
2020-9-11,0.004693262,0.022043387,0.008526603,0.010490821,0.037243274
2020-9-14,0.033188066,0.017144857,0.017053206,0.025103035,0.038487677
2020-9-15,0.020784445,0.020293912,0.009208731,0.021356313,0.023149991
2020-9-16,0.022125377,0.012596221,0.012278308,0.022105658,0.019732273
2020-9-17,0.017096882,0,0,0,0.058633837
2020-9-18,0,0.019944017,0.007162347,0.007493443,0.047097278
2020-9-21,0.026483406,0.015395381,0.012278308,0.026601723,0.03168504
2020-9-22,0.014750251,0.007347796,0.01568895,0.018358936,0.041411334
2020-9-23,0.015085484,0.030440868,0.026603001,0.014612214,0.079956596
2020-9-24,0.019443513,0.018894332,0.018076398,0.028849756,0.034282622
2020-9-25,0.024472008,0.022393282,0.018758527,0.029224429,0.025287132
2020-9-28,0.02581294,0.007347796,0.012960437,0.018358936,0.01783453
2020-9-29,0.014750251,0.026592022,0.018417462,0.017609592,0.038911964
2020-9-30,0.029835736,0.016095171,0.022510232,0.024728363,0.021910937
2020-10-9,0.028494804,0.043037089,0.032060027,0.039340577,0.060359386
2020-10-12,0.04827355,0.05843247,0.045361528,0.054702136,0.065965748
2020-10-13,0.059671472,0.05913226,0.052864939,0.0659423,0.03862627
2020-10-14,0.060341938,0.05493352,0.051841746,0.063319595,0.039275157
2020-10-15,0.056989608,0.037438768,0.041950887,0.051330086,0.049702212
2020-10-16,0.04492122,0.05563331,0.042291951,0.056950169,0.051417965
2020-10-19,0.060006705,0.045136459,0.045361528,0.059198202,0.029189126
2020-10-20,0.053637278,0.083974808,0.077421555,0.063694268,0.132804505
2020-10-21,0.085149179,0.082225332,0.089699864,0.091420007,0.081557552
2020-10-22,0.080120684,0.101119664,0.086630286,0.085799925,0.098223982
2020-10-23,0.097552799,0.078376487,0.086289222,0.089546647,0.067828595
2020-10-26,0.073416024,0.085024493,0.074010914,0.067066317,0.048275127
2020-10-27,0.090177673,0.110216935,0.104365621,0.108280255,0.137852548
2020-10-28,0.10995642,0.144156753,0.132332879,0.126264519,0.212478748
2020-10-29,0.129735166,0.125612316,0.135061392,0.142750094,0.134308933
2020-10-30,0.130070399,0.127711686,0.138813097,0.142750094,0.120746181
2020-11-2,0.127053302,0.11336599,0.136084584,0.118021731,0.140673296
2020-11-3,0.114314449,0.117214836,0.107094134,0.109404271,0.090490642
2020-11-4,0.116661079,0.213785864,0.195429741,0.130760584,0.595368196
2020-11-5,0.247401944,0.320153954,0.299113233,0.275758711,0.540870911
2020-11-6,0.348307073,0.303358992,0.349931787,0.294866991,0.511299088
2020-11-9,0.298692591,0.279916025,0.298431105,0.288872237,0.397382014
2020-11-10,0.272209185,0.22113366,0.259890859,0.247283627,0.325251878
2020-11-11,0.214213879,0.203289013,0.22271487,0.224428625,0.242386974
2020-11-12,0.202480724,0.211686494,0.193383356,0.211315099,0.187649842
2020-11-13,0.197452229,0.173198041,0.18792633,0.184338704,0.214148281
2020-11-16,0.174991619,0.245276417,0.233287858,0.19070813,0.398569178
2020-11-17,0.222929936,0.229531141,0.21521146,0.236792806,0.179137441
2020-11-18,0.214549112,0.246675997,0.263301501,0.247283627,0.208090475
2020-11-19,0.226282266,0.242827152,0.237380628,0.228924691,0.123275912
2020-11-20,0.237009722,0.231280616,0.233969986,0.253653054,0.114749864
2020-11-23,0.220918538,0.213435969,0.207366985,0.221431248,0.130935243
2020-11-24,0.208514918,0.181245626,0.194747613,0.195204196,0.176217219
2020-11-25,0.178008716,0.136109167,0.166098226,0.153240914,0.216840646
2020-11-26,0.134093195,0.138908328,0.127216917,0.149494193,0.074926864
2020-11-27,0.135434127,0.142407278,0.127216917,0.150992881,0.046767387
2020-11-30,0.140462622,0.119664101,0.126193724,0.140502061,0.098647265
2020-12-1,0.130405632,0.155003499,0.146657572,0.149494193,0.132977242
2020-12-2,0.153871941,0.152554234,0.14904502,0.167478456,0.092957737
2020-12-3,0.150519611,0.167249825,0.159959072,0.171974522,0.085245593
2020-12-4,0.158900436,0.178096571,0.162346521,0.182840015,0.067650257
2020-12-7,0.170298357,0.173547936,0.171555252,0.182840015,0.073415627
2020-12-8,0.169627891,0.185094472,0.185879945,0.196328213,0.090598074
2020-12-9,0.17733825,0.152204339,0.168826739,0.169351817,0.085230521
2020-12-10,0.140462622,0.155003499,0.140518417,0.160734357,0.041146707
2020-12-11,0.147502514,0.135059482,0.14154161,0.142000749,0.103644077
2020-12-14,0.135098894,0.167249825,0.16473397,0.154739603,0.098218368
2020-12-15,0.169963124,0.186144157,0.174624829,0.183964031,0.119528133
2020-12-16,0.178679182,0.175997201,0.167803547,0.18883477,0.07482521
2020-12-17,0.168957425,0.214485654,0.200204638,0.194454852,0.254244197
2020-12-18,0.204156889,0.202589223,0.203274216,0.218808543,0.117146677
2020-12-21,0.197452229,0.203988803,0.190313779,0.213937804,0.091368914
2020-12-22,0.194099899,0.182645206,0.198840382,0.204945673,0.126827864
2020-12-23,0.174656386,0.173547936,0.161664393,0.179467966,0.10362631
2020-12-24,0.172309755,0.135409377,0.161323329,0.149494193,0.122807657
2020-12-25,0.131076098,0.135059482,0.12994543,0.144623454,0.079199593
2020-12-28,0.124371438,0.081175647,0.115279673,0.06406894,0.247828067
2020-12-29,0.069728461,0.066480056,0.061391542,0.072686399,0.081935592
2020-12-30,0.081796849,0.068929321,0.066166439,0.078306482,0.06166847
2020-12-31,0.072745558,0.081175647,0.073328786,0.085799925,0.060111929
2021-1-4,0.082802548,0.086773968,0.072987722,0.073061072,0.142826032
2021-1-5,0.087160577,0.083624913,0.071623465,0.083551892,0.11113573
2021-1-6,0.096882333,0.147305808,0.136766712,0.115773698,0.235297048
2021-1-7,0.143144485,0.161651505,0.16473397,0.14911952,0.207471984
2021-1-8,0.152866242,0.150454864,0.157571623,0.164481079,0.110024978
2021-1-11,0.140797855,0.11476557,0.128922237,0.128137879,0.129116241
2021-1-12,0.113979216,0.126312106,0.115279673,0.124391158,0.082428559
2021-1-13,0.12571237,0.101819454,0.113233288,0.112776321,0.114281087
2021-1-14,0.100234663,0.097270819,0.099590723,0.113900337,0.071587697
2021-1-15,0.096882333,0.103568929,0.092428377,0.110153616,0.049578894
2021-1-18,0.102916527,0.101469559,0.094133697,0.113525665,0.042665208
2021-1-19,0.118672477,0.108817355,0.122100955,0.127013863,0.085660274
2021-1-20,0.108950721,0.129111267,0.114938608,0.124391158,0.069276597
2021-1-21,0.130405632,0.124912526,0.13165075,0.144248782,0.098783652
2021-1-22,0.122024807,0.179146256,0.161664393,0.139378044,0.279297776
2021-1-25,0.175997318,0.159202239,0.169849932,0.173847883,0.164728836
2021-1-26,0.156889038,0.11126662,0.142223738,0.128887224,0.138006247
2021-1-27,0.102581294,0.091672498,0.101637108,0.107905583,0.082677476
2021-1-28,0.085484412,0.066829951,0.07366985,0.081303859,0.0740959
2021-1-29,0.063694268,0.074527642,0.064120055,0.076058449,0.063216925
2021-2-1,0.071404626,0.095521344,0.09106412,0.082053203,0.060648489
2021-2-2,0.096211867,0.085024493,0.082878581,0.096665418,0.039434939
2021-2-3,0.085819645,0.063331001,0.098226467,0.063319595,0.129642169
2021-2-4,0.055648676,0.033240028,0.046725784,0.041963282,0.091436588
2021-2-5,0.038887026,0.026592022,0.034447476,0.038216561,0.050987744
2021-2-8,0.032182367,0.035689293,0.022510232,0.023979018,0.075540094
2021-2-9,0.0325176,0.124212736,0.108117326,0.043461971,0.212242146
2021-2-10,0.163258465,0.198390483,0.190313779,0.174222555,0.45648255
2021-2-18,0.251089507,0.303009097,0.282401091,0.27388535,0.615091514
2021-2-19,0.26483406,0.313156053,0.305593452,0.291869614,0.558857824
2021-2-22,0.315119008,0.341497551,0.397680764,0.359685275,0.549892716
2021-2-23,0.314448542,0.460461861,0.435879945,0.358935931,0.442713055
2021-2-24,0.451558833,0.350244927,0.4553206,0.373548145,0.698133174
2021-2-25,0.341602414,0.306508048,0.372442019,0.331210191,0.481766641
2021-2-26,0.264498827,0.265920224,0.282401091,0.289246909,0.310767805
2021-3-1,0.260811264,0.377186844,0.354706685,0.285125515,0.513351107
2021-3-2,0.360040228,0.44646606,0.442701228,0.387785688,0.613937998
2021-3-3,0.414683205,0.428271519,0.422237381,0.42113151,0.391086568
2021-3-4,0.398592021,0.485654304,0.524556617,0.42974897,0.614063767
2021-3-5,0.455581629,0.441917425,0.454638472,0.42637692,0.381953421
2021-3-8,0.435132417,0.411476557,0.481582538,0.448482578,0.382549977
2021-3-9,0.378478042,0.306508048,0.384720327,0.333083552,0.514870437
2021-3-10,0.311431445,0.33240028,0.343110505,0.338328962,0.310121179
2021-3-11,0.313442843,0.443317005,0.425989086,0.348070438,0.523515566
2021-3-12,0.435132417,0.467459762,0.454979536,0.437991757,0.506818679
2021-3-15,0.43211532,0.451014696,0.475784447,0.468340202,0.333160086
2021-3-16,0.436473349,0.443317005,0.444065484,0.449606594,0.295719044
